Number	Decade	Country	Source	File
30585279	1930s	USA	Pullman Magazine Advert	5e58de1e8a1f8d39eb0e6f2a70b2f09b.jpg
30585216	1970s	USA	Cigar Institute of America...	aa99211fd6e2d9f57d6672ab3e841d4d.jpg
30585215	1960s	USA	Slumberland Magazine Advert...	6ac6891e5c8a77d7f37e5fc6eb87bd39.jpg
30585205	1960s	USA	Helena Rubenstein Magazine Advert	3742267b1fb594715aa819bc6f0981f9.jpg
30585203	1960s	USA	PSA Airlines Magazine Advert	963f0b00badcd7f7ebc1e81ea60a3751.jpg
30585202	1960s	USA	Western Airlines Magazine Advert	870b8e33b0791e13e0cd07bd05bd0037.jpg
30585198	1960s	USA	Robinson's Magazine Advert	34c20d3c076b0f786363c3693808a103.jpg
30585197	1960s	USA	Georgia Pacific Magazine Advert	e05f79e325b14a216733b0df1e908eb6.jpg
30585196	1960s	USA	Frigidaire Magazine Advert	4576069453ecab24c478aa2654457fe5.jpg
30585193	1960s	USA	Hunt's Magazine Advert	feffd1373627da29e6a64151c1873a01.jpg
30585189	1960s	USA	Kellogg's Magazine Advert	b1df681f616a8fb765bb066e4025b826.jpg
30585188	1960s	USA	Foster Grant Magazine Advert	61d03d168b4cbb2b1d3aeda1835e2eac.jpg
30585187	1960s	USA	Adele Simpson Magazine Advert	928a212dadab6f594570c6c287267c1e.jpg
30585186	1960s	USA	Richelieu Magazine Advert	0b7d9854b93a5674eea70cfb08450fd2.jpg
30585185	1960s	USA	DuPont Magazine Advert	74dc432532db5d7156129494cf977d20.jpg
30585184	1960s	USA	Woolmark  Magazine Advert	3fc56e5c947a8aefd27a329a4f7b1f45.jpg
30585182	1960s	USA	Warner's Magazine Advert	78900962ffb7a2ad06223022c7808556.jpg
30585181	1960s	USA	DuPont Magazine Advert	14fadaaf3ebb74d8aec41499904c8856.jpg
30585179	1960s	USA	Formfit Magazine Advert	19323a58193dbcded1ad93cb973bdf30.jpg
30585178	1960s	USA	Plaza 8 Magazine Advert	3a55e53183cb898f98c3e1e9807d7897.jpg
30585177	1960s	USA	Warner's Magazine Advert	09195138773944ed96d356e288d5c89a.jpg
30585176	1960s	USA	Clairol Magazine Advert	a55257a95f4dded779e24e8a8bce4fd4.jpg
30585175	1960s	USA	Lustre Cream Magazine Advert	c98ff5428070cd64f28c07cc206fd587.jpg
30585174	1960s	USA	Revlon Magazine Advert	66b150dc00454f010dd203e7c1ac60fc.jpg
30585173	1960s	USA	Magazine Plate	98509f63162f94dc55e9cc251f733429.jpg
30585172	1960s	USA	English Leather Magazine Advert	9b70d8b6cd7bba44e4e6d0ce78348eda.jpg
30585171	1960s	USA	Career Club Magazine Advert	ae7160425b591636c5db40d9a404aace.jpg
30585167	1960s	USA	Campbell's Magazine Advert	8923a8e1bc48bc2c17dda739ed4145ad.jpg
30585164	1960s	USA	Cannon Magazine Advert	3418f5d3e67f833f338a14d6ff90fec9.jpg
30585163	1960s	USA	Tupperware Magazine Advert	70c04be2099dab31b85b272642e22e9f.jpg
30585154	1960s	USA	Palmolive Magazine Advert	6d77963783b46157e44ce136568d4e96.jpg
30585153	1960s	USA	Band Aid Magazine Advert	95d6cdf1609d715995baab0afa7b4378.jpg
30585152	1960s	USA	Listerine Magazine Advert	6fe341a263b2ec16b280a46da6a5a703.jpg
30585151	1960s	USA	Ipana Magazine Advert	08013a35ac7f8b8ba98154c7607bd1d2.jpg
30585143	1960s	USA	United States Steel Magazine Advert	6be1f908fd37b507aead459fc7b25221.jpg
30585137	1960s	USA	Pontiac Magazine Advert	60e8373f5ed750862000c8707209b136.jpg
30585135	1960s	USA	Fiberglass Magazine Advert	7f8a5a37eb4138bbe9d3c766eeb40e7a.jpg
30585134	1960s	USA	Ford Magazine Advert	7b3a7d2bfac9398204749273560df13e.jpg
30585133	1960s	USA	Smirnoff Magazine Advert	6fba684f7e3e6c09454bec2bc4025bf2.jpg
30585132	1960s	USA	Tareyton Magazine Advert	9595d84f5c8548a90f411749ff6e3b36.jpg
30585131	1960s	USA	Seagram's  Magazine Advert	869073040ada134fb99f09de7064602d.jpg
30585129	1960s	USA	Burgie Magazine Advert	df75a31bad500ae726d17fc161cb781c.jpg
30585128	1960s	USA	Illustrations Magazine Advert	f0779ab46a0e4bdd404edc30c8db21fe.jpg
30585072	1945	USA	The New Yorker Magazine Cover	68accbfdd18e0f8e8db11fe10f342d08.jpg
30585066	1970s	USA	Justerini & Brooks Magazine Advert	5e1d3c3fa9a196641c9668e4a8e6de6c.jpg
30585047	1970s	USA	Magazine Advert	0c12677a5944ed2bcbe022d0f5c87789.jpg
30585045	1970s	USA	Tua Marketing Magazine Advert	6c928fd8c8fbc6358aebb9f67d43a255.jpg
30585022	1970s	USA	Johnson's Magazine Advert	4d8447dfc3d6a3c8d534a644d7302090.jpg
30585019	1970s	USA	Stimula Magazine Advert	2211b6c4f49ee54d815cd34974949729.jpg
30585009	1970s	USA	Clairol Magazine Advert	8c8e197bd79f0fac7c34a1bd0781c97e.jpg
30585008	1970s	USA	Breck Magazine Advert	d8f5cdd1345154c3482a0f43daf9d27c.jpg
30585002	1970s	USA	Captiva Magazine Advert	382ac5f724946bebb79dbb9391c88b3e.jpg
30584990	1970s	USA	Christian Dior Magazine Advert	518fcc49b3752d8c5734a2cd7364f0d6.jpg
30584986	1970s	USA	Carnation Magazine Advert	c5835859f88373acdcd1c3a4bd8b96a8.jpg
30584976	1970s	USA	Banana Warmer Magazine Advert	35826a5fe7bb44bdc2a98477c8a59fa4.jpg
30584968	1980s	USA	Jose Cuervo Magazine Advert	5cff615c596a8b3265fdfd72b4dcd3f4.jpg
30584967	1980s	USA	Sun Country Magazine Advert	f083e80b4f64fe2bfd44e9b05706a140.jpg
30584966	1988	USA	Budweiser Magazine Advert	bee5789470fad9db03aa577d02ebc187.jpg
30584963	1985	USA	Hennessy Magazine Advert	1b270f6661597844139c5adde4957e28.jpg
30584960	1983	USA	Kamei Magazine Advert	57b207b06b0b3ec3a7531e8795e5675e.jpg
30584958	1980s	USA	Renault Magazine Advert	c6b16c3c3fe854a5726bd032ef3b2e92.jpg
30584944	1984	USA	Gold Corp Magazine Advert	9d60db4a4a6b398d01a78e26bd8adeba.jpg
30584943	1988	USA	Topol Magazine Advert	1d1923b713057e3ec77fe8d25fa7823f.jpg
30584941	1983	USA	Tropical Blend Magazine Advert	07f26ee43be3ead8e89229a5bc7fef9f.jpg
30584940	1988	USA	Tampax Magazine Advert	7a0127a97593d6a230f70fe6805f025e.jpg
30584939	1985	USA	Warner-Lambert Company Magazine...	a89168e8ef5383486ecd2bf3b0e0872e.jpg
30584936	1980s	USA	Jazzercise Magazine Advert	df21d053213c4997f96298986db7517f.jpg
30584933	1980s	USA	Marimekko Magazine Advert	7f3e5a79f5827be7887f7f6271f13529.jpg
